JobDescription,Company,Experience,Salary,Location,JobDetails,Skills
Data Scientist,Genie Talk,2-7 Yrs,Not disclosed,Indore,Job opportunity with leading AI - based product company Current Openings Data Scientist...,Data Scientist
Principal Data Scientist,"Continues Intelligence Lab Pvt.Ltd,",10-15 Yrs,Not disclosed,Bengaluru,"10 years of experience in machine learning, data mining, mathematical optimization. PhD...","algorithms
test
sas
frameworks
level
prototyping
CouchDB
PostgreSQL"
Lead / principal Data Scientist,AXCESS CONSULTANCY SERVICES,0-4 Yrs,Not disclosed,Bengaluru,"Hands - on experience with Python , big data technologies , tensor flow and other machi...","Operations research
Analytical
Machine learning
Data quality
Oracle
Data mining
Digital marketing
big data"
Data Scientist,AXCESS CONSULTANCY SERVICES,4-8 Yrs,Not disclosed,Delhi,"Position - Data Scientist Qualification - Btech, BCA, MCA (Any Graduate or Post Grad wi...","Unix
Linux
Django
Shell scripting
Machine learning
Data structures
Data mining
Information technology"
Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,2-7 Yrs,Not disclosed,"Jamshedpur, Mumbai, Bengaluru",Key Responsibilities: Apply Data Mining Data Analysis methods using a variety of data t...,"Data analysis
Data management
HTML
HTTP
Information management
Data mining
Econometrics
Information technology"
Lead / principal Data Scientist,AXCESS CONSULTANCY SERVICES,0-5 Yrs,Not disclosed,Bengaluru,Job Description Candidate has atleast 7- 8 years of rich experience in Data scienceCand...,"Operations research
Analytical
Machine learning
linear regression
Data quality
Oracle
Data mining
Digital marketing"
Principal Data Scientist - IIT/ NIT / BITS,3D India Staffing Research & Consulting Co India,8-13 Yrs,Not disclosed,Bengaluru,"Qualification : Any Graduation (only Full time), MSC, Other (only Full time)Knowledge i...","Team Handling
Segmentation
Operations Research
Data Mining
Machine Learning
Statistics
Analytics
Clementine"
Principal Data Scientist,Carousell,9-13 Yrs,Not disclosed,India,Responsibilities: Establish and nurture a high performing machine learning/AI culture i...,"Logistic regression
deep learning
Backend
Product engineering
data science
Neural networks
Machine learning
big data"
Data Scientist,Seven Consultancy,2-5 Yrs,Not disclosed,Noida,JOB DETAILS Proficiency in databases such as MongoDB. Experience in working with data v...,"Cloud computing
component design
Bloomberg
Design development
Programming
Application development
MongoDB
Unit testing"
Sr Data Scientist - For Leading Analytics Product Company in Mumbais,Maestro Headhunters LLP,3-8 Yrs,"10,00,000 - 20,00,000 PA.",Mumbai,Our client is one of the fastest growing start-up company specializing in Artificial In...,"Java
C++
C
project manager data scientist
decision
Neural Networks
Senior Data Scientist
Regression"
Data Scientist - Python/data Mining,Adept Global,5-8 Yrs,Not disclosed,Mumbai,Should have had experience in developing a product (coding and overall) of 2 years Expe...,"Tensorflow
Google Analytics
Data Wrangling
Time Series Analysis
Data Scientist
MySQL
Statistical Modeling
Data Mining"
Lead - Data Scientist - KPO,NovoTree Minds Consulting Pvt. Ltd.,5-10 Yrs,Not disclosed,Bengaluru,Required Candidate profile Rapidly prototype early-stage solutions and design / evaluat...,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
Data Scientist,Tech Ringers,2-5 Yrs,Not disclosed,Hyderabad,"or Master s degree in Operations Research , Industrial Engineering , Applied Mathematic...","BPO
Computer science
Operations research
Staffing
Pharma
Consulting
Hadoop
Industrial engineering"
Data Scientist,Zauba Technologies & Data Services Private Limited,3-5 Yrs,Not disclosed,Bengaluru,"Design and development of robust, scalable and highly efficient data engineering soluti...","development
Hadoop
Tools
Data mining
Apache
Business Executive
SQL
quality"
Data Scientist,Seven Consultancy,4-6 Yrs,Not disclosed,Noida,JOB DETAILS 1. Proficiency in databases such as MongoDB. Experience in working with dat...,"Cloud computing
Linux
Bloomberg
Finance
Design development
Programming
Deployment
MongoDB"
Data Scientist (immediate Joiner Preferred),BLOCKLOGY EDUTECH PRIVATE LIMITED,1-3 Yrs,Not disclosed,"Navi Mumbai, Mumbai",Job description Primary Responsibilities: Responsibilities for Data Scientist Work with...,"algorithms
python
c++
c
web services
power bi
machine learning
javascript"
Data Scientist,Sahasya Global Solutions,12-17 Yrs,Not disclosed,Hyderabad,Data Scientist at Sahasya Global Solutions Pvt. Ltd. (1 Opening) Work Experience: 12.0 ...,"IT services
development
c
technical
level
System programming
it
Analytics"
VP - Data Scientist,Posterity Consulting,7-12 Yrs,Not disclosed,haryana,"-Take end-to-end ownership of the product vision, writing game/feature specs, analysing...","Product management
Consumer research
Integrated marketing
Statistical analysis
Business Analyst
Analytical
Consulting
Product design"
Data Scientist Manager,CURATED STAFFING PRIVATE LIMITED,8-10 Yrs,"25,00,000 - 30,00,000 PA.",Hyderabad,"Experience with statistical languages and packages, such as R, SAS, Mat-Lab, and / or M...","Java
C++
C
Programming
Languages
MATLAB
Python"
Data Scientist,Achala IT Solutions,1-5 Yrs,Not disclosed,Hyderabad,About the Team and Role: The responsibility of the Data Scientist may also be including...,"IT services
Supply chain
Computer science
Operations research
data science
Machine learning
SCALA
Data processing"
VP - Data Engineering Female,Excellent Opportunity Placements,12-16 Yrs,"35,00,000 - 40,00,000 PA.",Pune,"Masters / Engineering Degree with > 10 years of exp in Database systems, Hadoop &cloud ...","analytics
senior management
python
r
data science
sas
hadoop
hbase"
Senior Data Scientist/ Data Scientist - KPO,NovoTree Minds Consulting Pvt. Ltd.,4-8 Yrs,Not disclosed,India,Good understanding of mathematical foundations behind Machine Learning algorithms Under...,"Data Science
NLP
Data Scientist
Data Management
Statistical Modeling
Big Data
Machine Learning
SQL"
Hiring For Data Scientist- For a Passenger car Company- Delhi,Talific Consulting Services Pvt. Ltd.,3-6 Yrs,"7,00,000 - 14,00,000 PA.",Delhi,"Roles and responsibilities: Perform in-depth analyses of business metrics, on behalf of...","collaborative filtering
python
data manipulation
Database Engineer
machine learning
sql
deep learning
r"
Data Scientist / Engineer,FrankPro Consulting [OPC],3-7 Yrs,Not disclosed,Ahmedabad,ML Engineer with atleast 2 year experience in design and development of machine learnin...,Data Scientist / Engineer
Data Scientist,Talent Zone Consultant,4-6 Yrs,Not disclosed,Bengaluru,Apply technical and analytical expertise to exploring and examining data from multiple ...,"4 plus years of experience of working in the areas related to data science including machine learning and text mining
Expert in R and Python with firm understanding of statistical modelling techniques and should be adept at handling unstructured data"
Data Scientist,itForte Staffing Services Private Ltd.,3-8 Yrs,Not disclosed,Gurgaon,- Tackle the challenges of featurizing and modelling large and unstructured data using ...,"Text mining
Computer science
deep learning
Data analysis
Machine learning
Data collection
Agile
Investment management"
Urgent Hiring IN Expert DATA Scientist For Australia,BASICS OF IMMIGRATION CONSULTANT SERVICES LLP,7-12 Yrs,Not disclosed,Australia,"Bachelors degree in mathematics, statistics, computer science, operational research, en...","data analytics
data science
Data Scientist
data warehousing
Data Processing
expert data scientist"
Data Scientist,BrainToSoul Consulting,5-10 Yrs,Not disclosed,Bengaluru,"Required Skills Experience with common data science toolkits, such as R, Weka, etc Good...","Computer science
hive
Usage
NoSQL
data science
query
MongoDB
Data mining"
Data Scientist,Hyrefox,2-5 Yrs,Not disclosed,Jaipur,"Designing, implementation & maintenance of various data and machine learning-based comp...","Computer science
Data analysis
Operations research
MySQL
Machine learning
Data structures
Data mining
Software services"
Data Scientist,HR Devi and Associates,4-6 Yrs,Not disclosed,Trivandrum,The ideal candidate is adept at using large data sets to find opportunities for product...,"Help Desk
Customer Service
customer relationship
access controls
Telephony support
Asset Management
Vendor Management
Information"
Data Scientist Manager,FASTRA CORPORATION PRIVATE LIMITED,10-12 Yrs,Not disclosed,Bengaluru,Demonstrated problem solving and troubleshooting skills with experience exercising matu...,"Data Science
Tensorflow
Hive
MxNET
Hadoop
Neural Networks
Big Data
Spark"
Data Scientist,C3 WEB PRIVATE LIMITED,2-6 Yrs,Not disclosed,Bengaluru,Specialization in machine learning preferred;•Applied Machine Learning experience (regr...,"Computer science
Machine learning
Anti money laundering
Javascript
Regression analysis
Customer engagement
Analytics
Recruitment"
Data Scientist,Beno Staffing,2-7 Yrs,Not disclosed,Gurgaon,"Roles and Responsibilities: As a Data Scientist at BluePi, you will : 1. Analyse and ex...","Computer science
Data analysis
PDF
Image processing
Staffing
Machine learning
Natural language processing
Analytics"
Engineer/ Sr. Engineer - Data Scientist,Continental Corporation,2-4 Yrs,Not disclosed,"Manesar, Gurgaon",Job opening: Engineer Sr. Engineer - Data Scientist | Continental AG By using the follo...,"Computer science
Mechatronics
Data analysis
Social media
Machine learning
vehicle dynamics
Research
Automotive"
Data scientist visualization,Analytics Vidhya Educon Pvt. Ltd,8-10 Yrs,Not disclosed,Pune,Job description: Qualification and Skills Required Experience Required : 8+ Years Exper...,"SAS SQL
tableau
Data modeling
Author
HTML
Predictive modeling
Data analytics
Data mining"
Data Scientist Senior Consultant,Talent Toppers,6-11 Yrs,Not disclosed,Chennai,"The role spans the full lifecycle from analytic question definition, through data gathe...","Computer science
Business communication
Operations research
Business analytics
Analytical
Agile
Customer service
Econometrics"
Data Scientist - KPO,Huquo Consulting Pvt. Ltd,2-4 Yrs,Not disclosed,Gurgaon,Should be able to work on a problem independently and prepare client ready deliverable ...,"Predictive Modeling
Data Science
Data Scientist
Data Management
Statistical Modeling
Tableau
Data Analytics
Statistics"
Data Scientist R C Python,Crosstab IT Consulting,2-5 Yrs,Not disclosed,Mumbai,Key Responsibilities: You will be working with client relationship managers product own...,"C++
Coding
Database design
Data structures
Business intelligence
Troubleshooting
Information technology
Analytics"
Data Scientist - Big Data-Delhi (Auotmobile OEM),Industrial Personnel Network,3-5 Yrs,Not disclosed,Delhi,"Perform in-depth analyses of business metrics, on behalf of internal customers (Sales, ...","Matplotlib
Data Scientist
Hadoop
Big Data
QlikView
Tableau
SQL"
Data Scientist,Tomia,3-8 Yrs,Not disclosed,Bengaluru,Responsibilities We are looking for a capable data scientist to join the Analytics team...,"Computer science
deep learning
volte
Machine learning
Data collection
Telecommunication
Roaming
big data"
Data Scientist,thoughtworksreferral,5-8 Yrs,Not disclosed,Chennai,We are passionate technologists who believe in the power of software and technology as ...,"Computer science
Data analysis
Operations research
Consulting
Machine learning
Manager Technology
Data structures
Natural language processing"
Data Scientist,FTD India Pvt. Ltd,3-5 Yrs,Not disclosed,Hyderabad,"You should Know-how on Extract, Transform and Load (ETL) of Big Data in enterprise envi...","PowerShell
Java
Chatbots
Google Dataflow
Text Mining
Machine Learning
Deep Learning
Data Science"
Data Scientist,Bigshyft Hiring for BigShyft,3-5 Yrs,Not disclosed,Noida,Profile Description and Responsibilities: Develop systems to extract seemingly unseen t...,"NLP - Natural Language Processing
Neural Networks
Machine Learning
Deep Learning
Python"
Data Scientist,RedLotus,3-5 Yrs,Not disclosed,Mumbai,Responsibilities: Undertake preprocessing of structured and unstructured data. Build da...,"Computer science
SAN
Statistical modeling
French
Analytical
Machine learning
Cook
data visualization"
Data Scientist,DM CONSULTING (INDIA) PVT LTD,2-3 Yrs,Not disclosed,Bengaluru,"Creative , proactive , bold and out - of - box thinking Expertise in many of the follow...","R
critical care
Consultant
medicine
ICU
hospital
MATLAB
resident"
Data Scientist,Ideas2IT,3-8 Yrs,Not disclosed,Chennai,"Data ScientistChennai, India Full- Time Ideas2IT is a high- end product firm. Started b...","algorithms
development
code
software
level
developing
it
microsoft"
DATA SCIENTIST,Saffron Consultancy Services(scs),7-12 Yrs,Not disclosed,Delhi,Data Scientist (Python AI Expertise) About Company : Our board brings together a team o...,"deep learning
Machine learning
Manager Technology
Data structures
Computer application
Executive management
Data mining
big data"
Data Scientist - Junior,ADF Data Science Private Limited,0-2 Yrs,Not disclosed,Chennai,"they will use advanced machine learning techniques, among others, as per business requi...","Data Science
Data Analysis
Credit Risk
Marketing Analytics
Machine Learning"
Data Scientist,DigiLantern,7-10 Yrs,Not disclosed,Noida,We are hiring our first Data Scientist role for our Internet technology and help furthe...,"Computer science
Programming
Manager Technology
PHP
Perl
Statistics
Analytics
SQL"
Data Scientist -GCP,Oloop Technology Solutions,8-12 Yrs,Not disclosed,Hyderabad,Exp: 8- 15 yrs Datascientist and look for GCP exp,"Printing
GCP"
Data Scientist,Sybrant Data,2-4 Yrs,Not disclosed,Chennai,B.Sc / M.Sc (Maths / Statistics) B.Tech / B.E. Computer Science 2 - 4 years of experien...,"Computer science
R Programming
Machine learning
Hadoop
Perl
Data mining
Statistics
Python"
Data Scientist | Gurgaon,aasaanjobs private limited,1-3 Yrs,Not disclosed,Gurgaon,"Preferred IIT & IIMs pass out Experience in Machine learning, R programming, Python, Da...","Data Science
R
Data Scientist
Data Visualization
Machine Learning
Python"
Data Scientist,Analytos,2-4 Yrs,Not disclosed,India,Deploy data- science and technology based algorithmic solutions to address business nee...,"Text mining
deep learning
NoSQL
RF
data science
Data research
Data modeling
Manager Technology"
Data scientist,Multi Recruit,3-5 Yrs,Not disclosed,Bengaluru,IT Software - Application Programming / Maintenance Job Description Roles and Responsib...,"deep learning
data science
Application programming
Consulting
Social networking
Fraud analytics
Data structures
Research"
Data Scientist - R Modeling,GOLDEN OPPORTUNITIES PVT LTD.,6-11 Yrs,Not disclosed,Mumbai,Job Description As a modeling expert you will be involve in creating & modifying statis...,"BPO
Junior Analyst
Root cause analysis
Data validation
Publishing
Pharma
IT support
Programming"
Data Scientist,TensorGo Technologies Private Limited,2-6 Yrs,Not disclosed,Hyderabad,Requirements Can create magic with Machine Learning Concepts. The deeper you have the u...,"Computer vision
Logistic regression
Statistical analysis
data science
MySQL
Machine learning
SCALA
Programming"
Data Scientist,Hyrefox,2-7 Yrs,Not disclosed,Chennai,Job Requirement: Solid Big- Data Technologies hands- on working experience Strong hands...,"Script writing
spark
Analytical
SCALA
Data processing
big data
Analytics
Software services"
Data Scientist - R Modeling,GOLDEN OPPORTUNITIES PVT LTD.,6-11 Yrs,Not disclosed,Mumbai,Job Description As a modeling expert you will be involve in creating & modifying statis...,"BPO
Junior Analyst
Root cause analysis
Data validation
Publishing
Pharma
IT support
Programming"
Looking For Data Scientist (nlp) For Noida SEZ,EXL Services.com ( I ) Pvt. Ltd.,4-8 Yrs,Not disclosed,Noida,Production level coding experience in Python / Java is requiredExperience with Natural ...,"Java
NLP
Algorithms
Text Analytics
Natural Language Processing
Information Retrieval
Text Mining
Machine Learning"
Data Scientist,Demoport.in,3-5 Yrs,Not disclosed,Chennai,"Provide technical oversights to other team members on solution design, system architect...","Computer science
Cluster analysis
System architecture
Solution design
Data analysis
cassandra
Analytical
Data mining"
AM - Data Scientist ( Immediate Joiners ),Pylon Management Consulting Pvt Ltd,7-10 Yrs,Not disclosed,Bengaluru,"Masters, or PhD in Computer Science, Statistics, Mathematics, Engineering, Bioinformati...","r
python
NLP
predictive modeling
Neural Networks
statistical modeling
machine learning
artificial intelligence"
Data Scientist,WeRecruit Talent,2-5 Yrs,Not disclosed,Bengaluru,Job Details Data Scientist Job Description Required competencies: Phd / MTech / MS or e...,"Computer science
Machine learning
Hadoop
Packaging
Programming
Mathematics
Research
Data mining"
Data Scientist - Consulting Firm,Huquo Consulting Pvt. Ltd,4-9 Yrs,Not disclosed,"Mumbai, Bengaluru",Candidate should have excellent communication skills to interact with senior clients Sh...,"Data Science
Predictive Modeling
Data Scientist
Data Management
Data Analytics
Analytics
Analytical Model Development
Python"
Urgent Requirement For Data Scientist For Mnc in Hyderabad,ManpowerGroup Services India Private Limited,5-10 Yrs,Not disclosed,Hyderabad,We have urgent requirement for Data Scientist for Mnc in Hyderabad Reporting into the H...,"Brand Marketing
Regression Analysis
R
Power Bi
Internet Marketing
Data Visualization
Digital Marketing
Analytics"
AI Developer/ Data Scientist,OPEXAI BUSINESS CONSULTING LLP,3-8 Yrs,Not disclosed,india,"Experience of data warehousing technologies including data modeling , ETL and reporting...","Unix
C++
Linux
Data modeling
Eclipse
MySQL
Data structures
Visual Studio"
Data Scientist - Analytics & BI,Golechha Capital,4-9 Yrs,Not disclosed,Hyderabad,About the Role The recently incorporated team at Monech has a mission of building syste...,"SAS
Analytical
Management consulting
Capital market
Business intelligence
Data mining
Portfolio management
Financial services"
Data Scientist,GD Research Center Pvt Ltd,2-4 Yrs,Not disclosed,Hyderabad,The candidate should be capable of understanding Online Pricing Intelligence solution a...,"Data analysis
Team management
Data management
Project management
Consulting
Data collection
Project planning
Data mining"
Data Scientist,CLoudxlab,2-7 Yrs,Not disclosed,Delhi,RESPONSIBILITIES To analyse data and support the development of technology tools releva...,"Graphics
Project reports
Statistical analysis
big data analytics
Manager Technology
Project planning
data integrity
Data warehousing"
Data Scientist,CLoudxlab,2-7 Yrs,Not disclosed,Delhi,"Posted 3 days, 16 hours ago Data Scientist Job at Ank Aha | CloudxLab Job Details Data ...","Graphics
Project reports
Statistical analysis
big data analytics
Manager Technology
Project planning
data integrity
Data warehousing"
Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,1-6 Yrs,Not disclosed,Bengaluru,Job description: This position is responsible for translating complex analytical concep...,"Computer science
Automation
Data analysis
data science
Machine learning
HTML
Data quality
Analytics"
AI Data Scientist - Predictive Analytics & Modeling,SKS Enterpprises,2-7 Yrs,Not disclosed,Bengaluru,Experience Required: - 3-4 years of experience and in-depth understanding of statistica...,"Predictive Modeling
R
SAS
SAS eMiner
Artificial Intelligence
Data Scientist
Data Management
MATLAB"
Data Scientist ( Calicut ),Vanilla Networks Pvt Ltd.,1-3 Yrs,Not disclosed,Kozhikode,*Use data science methodologies and technologies to analyse Big Data and finite dataset...,"python
data science
Team work
Data Analytics
sql"
BDB Data Scientist,"ANMUTSOLUTIONS Pvt,Ltd.",3-8 Yrs,Not disclosed,"Bengaluru, Hyderabad",Able to communicate findings clearly to both technical and non - technical audiences Ex...,"ERP
Data analysis
Team Building
SAS
Simulation
Analytical
Social media
Healthcare"
Data Scientist,CLoudxlab,2-7 Yrs,Not disclosed,Bengaluru,Job Description BuddhiMed has been launched by two healthcare industry veterans Dr. Aja...,"Computer science
POP
Genomics
Machine learning
Manager Technology
Healthcare
Wellness
ICT"
Data Scientist - Mathematical Finance,Franklin Templeton International,4-6 Yrs,Not disclosed,Hyderabad,Job Description Data Scientist - Mathematical Finance - 832459 At Franklin Templeton In...,"Data analysis
metadata
Wealth management
Data management
Analytical
HTTP
Medical insurance
Data mining"
Data Scientist,Korgen Technologies (P) Limited,3-5 Yrs,Not disclosed,Chennai,"• Provide technical oversights to other team members on solution design, system archite...","System architecture
Modification
advanced analytics
Data analysis
Analytical
Map Reduce
Technical
Data mining"
Data Scientist,Korgen Technologies (P) Limited,3-5 Yrs,Not disclosed,Chennai,"Work with the Product Team on designing, building and deploying scalable data analysis ...","System architecture
Modification
advanced analytics
Data analysis
Analytical
Map Reduce
Technical
Data mining"
Data Scientist,FresherMart,4-9 Yrs,Not disclosed,Mumbai,"Manage end to end analytics projects including business requirement analysis, define sc...","PDF
SAS
Project management
Analytical
PHP
Predictive modeling
SPSS
Forecasting"
Data Scientist,AXCESS CONSULTANCY SERVICES,0-4 Yrs,Not disclosed,Gurgaon,Please make sure candidate should qualify checklist written below: The candidate have v...,"Product management
SAS
Coding
Bfsi
MySQL
Data structures
Analytics
Monitoring"
"Data Scientist | Solr/ml Developer - Delhi, NCR",Ayaninfotech pty ltd,6-11 Yrs,Not disclosed,Delhi NCR,"Type: Permanent, full timeShould have working experience on SOLR Documents, Filters, Qu...","solr programmer
ml programmer
Solr
solr developer
Data Scientist
Senior Data Scientist
ML developer"
Data Scientist - Cars24- NBFC,CARS24 SERVICES PRIVATE LIMITED,2-6 Yrs,"13,00,000 - 20,00,000 PA.",Gurgaon,Exciting Opportunity - Get to work with exciting new age cutting edge problem statement...,"Data Science
Decision Scientist
Data Scientist
Machine Learning"
Principal Data Scientist,Sanofi India Ltd,4-6 Yrs,Not disclosed,Hyderabad,Principal Data Scientist Principal Data Scientist in Advanced Analytics for Real World ...,"Prototype
Simulation
Linux
Analytical
Clinical trials
Data mining
biomedical
Principal"
Principal Data Scientist,Sanofi India Ltd,4-6 Yrs,Not disclosed,Hyderabad,Principal Data Scientist Principal Data Scientist in Advanced Analytics for Real World ...,"Prototype
Simulation
Linux
Analytical
Clinical trials
Data mining
biomedical
Principal"
Data Scientist,Baker Hughes Incorporated,1-6 Yrs,Not disclosed,Bengaluru,Essential Responsibilities: Work in cross-functional teams to translate algorithms into...,"Computer science
Data analysis
Architecture
SAS
Coding
Machine learning
Agile
Perl"
Data Scientist - Analytics - BFS,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,"Mumbai, Bengaluru",Candidate should have excellent communication skills to interact with senior clients Sh...,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
Data Scientist Delivery Lead,Scouters Pvt Ltd.,4-7 Yrs,Not disclosed,India,15+ years of total relevant experience. 10+ years of hand on experience in analytics/ d...,"BPO
client management"
Urgent Hiring IN Expert DATA Scientist For Canada,BASICS OF IMMIGRATION CONSULTANT SERVICES LLP,5-10 Yrs,Not disclosed,Canada,"Bachelors degree in mathematics, statistics, computer science, operational research, en...","data analytics
data science
data
data mining
Data Warehousing
expert data scientist
Database Administrator
Data Center"
Data Scientist,Andor Tech (India) Pvt Ltd,3-8 Yrs,Not disclosed,Bengaluru,We currently have Data Scientis position with US Based Pharma company.Skills: Python + ...,"R
RShiny
Algorithms
Cloud
AI
Watson
Machine Learning
Python"
Data Scientist,Mancer Consulting Services,5-10 Yrs,Not disclosed,Pune,Essential Qualifications : To qualify for this role you will have to : - Have a Graduat...,"SAS
Data Scientist
Data Management
Tableau
Statistics
Analytics"
Data Scientist,BigTapp Analytics Pte Ltd,5-10 Yrs,Not disclosed,Chennai,PhD will be an added advantage Experience with big data tools (e;5+years experience wit...,"C++
Data analysis
Prototype
SAS
cassandra
Analytical
SPSS
data visualization"
Data Scientist,MIC Business Labs Pvt Ltd.,2-7 Yrs,Not disclosed,Meerut,Data Scientist Call Us Now And become a proud member of MIC Tech B Labs!!! CALL NO,"Help Desk
Customer Service
customer relationship
access controls
Telephony support
Asset Management
Vendor Management
Information"
BDB Data Scientist,"ANMUTSOLUTIONS Pvt,Ltd.",3-8 Yrs,Not disclosed,"Bengaluru, Hyderabad","BizViz provides a 360 degree view of a business's data, serving any vertical and meetin...","ERP
Data analysis
SAS
Simulation
Analytical
Machine learning
Healthcare
Data mining"
Data Scientist,Applied Materials India Private Limited,2-4 Yrs,Not disclosed,Bengaluru,Key Responsibilities Build Data Pipelines for AIML Solutions using Python Build Data Pi...,"Interpersonal skills
data science
Analytical
Machine learning
Data collection
Programming
Troubleshooting
big data"
Data Scientist,Happyhat Solution Pvt. Ltd,3-8 Yrs,Not disclosed,Chennai,"3+ years of experience in data science, advanced and predictive data analytics using da...","Data Science
R
Natural Language Processing
Hadoop
Text Mining
Spark
Statistical Data Analysis
Tableau"
Data Scientist,Hookfish.in,4-8 Yrs,Not disclosed,Mumbai,We are looking for a data scientist that will help us discover the information hidden i...,"Graphics
Administration
Sales operations
Strategic planning
PHP
Entrepreneur
Business strategy
Budgeting"
Data Scientist,Novo Tree Minds,3-6 Yrs,Not disclosed,Bengaluru,"Role involves 60% individual contribution, 25% customer engagement and 15% project mana...","Excel
SAS
Project management
Analytical
Consulting
ITES
Customer engagement
SQL"
Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,2-5 Yrs,"6,00,000 - 15,00,000 PA.","Chennai, Mumbai","Founded in 2017, by 3 industry experts who are almunus of IITs / SPJIMR with each of th...","python
data analytics
EDA
SAS
Power Bi
time series
business analytics
business intelligence"
Data Scientist,Fractal.ai,2-7 Yrs,Not disclosed,Mumbai,Personality Traits Ability to work independently under tight deadlines with accountabil...,"Unix
Computer science
Logistic regression
Analytical
Data processing
Data structures
Data mining
Open source"
Data Scientist - Python/r,The Hiring Story,1-4 Yrs,Not disclosed,Gurgaon,Requirements : - Tier 1 institute Must have an aptitude for solving unstructured proble...,"R
Data Scientist
Data Management
Machine Learning
Python"
Data Scientist,Priority Vendor,5-10 Yrs,Not disclosed,Noida,Job Description : We re looking for a Full Stack developer who will take a key role on ...,"Hibernate
ERP
MS SQL
jQuery
XML
MySQL
Agile
HTML"
Data Scientist - BFSI,Talhive,2-6 Yrs,Not disclosed,Bengaluru,Strong problem-solving skills with a drive to learn and master new technologies and tec...,"Data Science
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Statistics
Analytics"
Data Scientist - Nasdaq Firm,Huquo Consulting Pvt. Ltd,3-8 Yrs,Not disclosed,Gurgaon,Consultative mindset with good problem solving skills Should be able to perform End to ...,"Data Science
Predictive Modeling
Business Intelligence
Data Scientist
Data Management
Data Modeling
Tableau
Analytics"
Data Scientist,Aifiniti Information Management Solutions And Services Private limited,5-9 Yrs,"3,50,000 - 7,00,000 PA.",Hyderabad,Shift:- Night-Shift (US)Use model to optimize the customer experienceWeb Services exper...,"Web Technologies
Regression
Data Mining
Clustering
statistical tests
R
Excel
Algorithms"
Data Scientist - BFSI,Talhive,2-6 Yrs,Not disclosed,Bengaluru,Strong problem-solving skills with a drive to learn and master new technologies and tec...,"Data Science
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Statistics
Analytics"
Data Scientist,AXCESS CONSULTANCY SERVICES,0-5 Yrs,Not disclosed,"Gurgaon, haryana",Job Description: Candidate interested in a Student facing/ interaction role Candidate w...,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
Data Scientist,AXCESS CONSULTANCY SERVICES,0-5 Yrs,Not disclosed,Pune,Job Description: Candidate interested in a Student facing/ interaction role Candidate w...,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
Data Scientist,AXCESS CONSULTANCY SERVICES,0-5 Yrs,Not disclosed,Chennai,Job Description: Candidate interested in a Student facing/ interaction role Candidate w...,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
Data Scientist,AXCESS CONSULTANCY SERVICES,0-5 Yrs,Not disclosed,Bengaluru,Job Description: Candidate interested in a Student facing/ interaction role Candidate w...,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
Position Data Scientist,Positive Integers Pvt Ltd,2-5 Yrs,Not disclosed,Chennai,Careers - Insights Campaigns Results Home / Careers A day in the life of Pi includes ha...,"assembly language
JavaScript
Real Time Operating Systems
.NET
HTML
Oracle
Python"
Position Data Scientist,Positive Integers Pvt Ltd,0-1 Yrs,Not disclosed,Chennai,Data Scientist Analytics 0- 1 year experience You will work in a fast- paced environmen...,"assembly language
JavaScript
Real Time Operating Systems
.NET
HTML
Oracle
Python"
Data Scientist - KPO,Confidential,2-6 Yrs,Not disclosed,Bengaluru,- Develop statistical models and validate them on a regular basis. - Selecting and tran...,"Data Science
Data Scientist
Data Management
Statistical Modeling
Data Mining
Data Modeling
Machine Learning"
Data Scientist,Blackcoffer,2-5 Yrs,Not disclosed,"Delhi, Bengaluru",Data Scientist APPLY NOW Write,"Data Scientist
science
Scientist
Data"
Associate Vice President - Data Scientist - Iit/nit/iim/xlri,Huquo Consulting Pvt. Ltd,8-12 Yrs,Not disclosed,Gurgaon,"Education: Bachelors/ Masters degree in quantitative fields (Statistics, Operations Res...","Data Science
NLP
Data Scientist
Big Data
Machine Learning
Analytics
Python"
Data Scientist - Fintech,BuzzHire,2-5 Yrs,Not disclosed,"Delhi NCR, Mumbai",Looking for Datascientist in fintech company based in Mumbai / Gurgaon. This is an oppo...,"Data Science
Data Scientist
Data Management
Data Analytics
Machine Learning
Analytics
Python
SQL"
Data Scientist,Cubois Technologies Private Limited,3-8 Yrs,Not disclosed,Pune,- Transform data into business value to provide qualified data-based insights to variou...,"Backend
Front end
html5
MySQL
Javascript
Routing
Management
IOS"
