JobDescription,Company,Experience,Salary,Location,JobDetails,Skills
Data Scientist,Great Logics,3-6 Yrs,Not disclosed,"Hyderabad, Gurgaon","Data Scientist , 3 - 6 Years Hyderabad , Gurgaon Job Description SOC Verification with ...","C
SOC verification
UVM"
Data Scientist,Dewi,2-7 Yrs,Not disclosed,Gurgaon,We are looking for a data scientist to join our existing team of data analysts/ scienti...,"Hospitality
Computer vision
Artificial Intelligence
Machine learning
Manager Technology
Facility management
Monitoring
SQL"
Sr Data Scientist - M.tech/m.sc/phd - Immediate Joiner,CHANGE LEADERS CONSULTING,4-8 Yrs,"15,00,000 - 20,00,000 PA.","Mumbai, Gurgaon","Python & AWS Must Deep understanding and experience in the field of Machine Learning, D...","Predictive Modeling
NLP
Linear Regression
Statistical Modeling
Machine Learning
Deep Learning
Python"
"Data Scientist - AI, Neural",Snaphunt,2-7 Yrs,Not disclosed,Bengaluru,"You possess an advanced degree, ideally a PHD, in Mathematics, Statistics, Computer Sci...","Data Science
R
Artificial Intelligence
Natural Language Processing
Neural Networks
Text Mining
Machine Learning
Deep Learning"
Data Scientist /analytics Engineer - Machine Learning,Blackcoffer,1-3 Yrs,Not disclosed,"Delhi NCR, Delhi","Experience working in predictive models, data models, financial models, and machine lea...","Data Science
Predictive Modeling
Regression Algorithms
R
Cloud Services
Data Scientist
Data Analytics
Machine Learning"
Data Scientist - AI ML Team,CustomerXPs Software Pvt Ltd,8-13 Yrs,Not disclosed,Bengaluru,Must have built 2-3 end to end ML projects in the past;Your Skills: Must have 3 8 years...,"Computer science
Automation
Artificial Intelligence
Machine learning
Data collection
Risk management
Monitoring
SQL"
Data Scientist - IT,Change leaders,1-3 Yrs,Not disclosed,Gurgaon,Experience with face recognition and audio / video will be preferredWork Exp: - Good sc...,"R
Algorithms
Linux
Solr
MySQL
Data Mining
Spark
Machine Learning"
Product development Data Scientist ML,CareerXperts Consulting,4-7 Yrs,Not disclosed,Bengaluru,"If you are a geek about anything algorithms, math, machine learning, data wrangling/ vi...","Unix
GIT
Analytical
Machine learning
Debugging
Programming
Product design
high performance computing"
Data Scientist,GAUGE DATA SOLUTIONS PVT LTD,2-7 Yrs,Not disclosed,Noida,"A strong experience with at least one of the following; R, Matlab, SAS, SPSS or similar...",Data Scientist
Data Scientist,MNR DataMight Pvt. Ltd.,2-5 Yrs,Not disclosed,Hyderabad,1. Data Scientist (2-5 yrs Exp),Data Scientist
Data Scientist (Full time),Vicit Infot Tech,2-7 Yrs,Not disclosed,Bengaluru,"English, Tamil, Hindi and Telugu Key Skills Python, Nodejs, Machine Learning, Big Data,...","data science
Machine learning
Linguistics
Tools
Time
Natural language processing
Open source"
Data Scientist,Telarix,2-5 Yrs,Not disclosed,Bengaluru,"Job Description Skills/Requirements Machine Learning & AI - Bangalore, IN Responsibilit...","volte
Roaming
Management"
Data Scientist,IQLECT,5-8 Yrs,Not disclosed,Bengaluru,Data Scientist Positions - 2 Bengaluru Requirements Should have good knowledge of stati...,"Computer science
algorithms
python
RF
testing
Machine learning
Tools
Regression"
Head - Data Scientist - Machine Learning,e-Hireo Global Pvt Ltd,8-10 Yrs,Not disclosed,Bengaluru,About Role : We have a spectrum of users who may range from an average credit seeker to...,"Data Science
R
Data Scientist
Data Management
Machine Learning
Algorithm
Analytics
Python"
Data Scientist,NSEIT LTD,3-7 Yrs,Not disclosed,Mumbai,Should have experience of deploying and putting into production ML based solutionAt lea...,"Pytorch
Cnn
NLP
Lstm
Artificial Intelligence
Neural Networks
Keras
Machine Learning"
Data Scientist,Profisor Services Pvt. Ltd.,8-13 Yrs,Not disclosed,Gurgaon,Interested candidates are requested to send in their candidature details to careers@pro...,"Algorithms
Bfsi
Analytical
Consulting
Machine learning
Agile
Tools
Healthcare"
Data Scientist,Clustr,5-10 Yrs,Not disclosed,Bengaluru,Being in-charge of the following stages: translating a business problem to a DS problem...,"Building
Quality monitoring
C++
Prototype
Incharge
data science
Machine learning
Data collection"
Data Scientist / Analyst,Adoro,2-5 Yrs,Not disclosed,Mumbai,If you are someone who always argues that data tells you everything and can speak numbe...,"Computer science
Basic
Senior Analyst
Statistical software
MATLAB
Statistics
SQL
Python"
Data Scientist,AppZen,4-6 Yrs,Not disclosed,Pune,"Must- Have: Solid understanding of machine learning fundamentals, and familiar with sta...","Computer science
Computer vision
deep learning
Aerospace
Pharma
Machine learning
Data quality
Predictive modeling"
Assistant Manager / Dy. Manager- Data Scientist,GLOBAL HR SERVICES,5-8 Yrs,"10,00,000 - 15,00,000 PA.",Delhi NCR,Bachelors / Masters Degree or PH.D in Data Science and related areasRequired Candidate ...,"buyside research
data extraction
data analysis
senior analyst
data mining
data scientist
artificial intelligence"
Data Scientist Jobs,Right Step Consulting,1-5 Yrs,Not disclosed,Noida,"Experience in projects which involved forecasting, optimization, segmentation, pricing,...","Visualization
Analytical
Calculus
Business intelligence
Forecasting
SQL
Python
AnalyticsSoftware services"
Data Scientist,Busigence Technologies,2-5 Yrs,Not disclosed,Bengaluru,Data Scientist,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Vendor Management"
Data Scientist,Alphonso Inc.,2-7 Yrs,Not disclosed,Bengaluru,Alphonso is a TV data company and the market leader in providing brands and agencies wi...,"Computer science
deep learning
Usage
Statistical modeling
Machine learning
Programming
Manager Technology
big data"
Data Scientist - Machine & Deep Learning,Connexions,2-7 Yrs,Not disclosed,Bengaluru,"Job Description : - We have millions of active monthly visitors, we have access to a hu...","Data Science
NLP
Data Scientist
Big Data
Data Mining
Data Modeling
Machine Learning
Deep Learning"
Data Scientist,Pratham Edusys Pvt Ltd,5-10 Yrs,Not disclosed,"Mumbai, henry,uttar pradesh,rajasthan",Responsibilities Think creatively and identify opportunities to leverage machine learni...,"Computer science
C++
NoSQL
Machine learning
Javascript
Data collection
Data mining
MATLAB"
Data Scientist - Sr Manager,Skills Hr,5-10 Yrs,Not disclosed,Pune,Skills Required : Job Summary : Greetings from SkillsHR We have a Job opportunity for M...,"Senior Design Engineer
Microstrategy
Spotfire
python
Simulation
Spreadsheets
Tools
mysql"
Data Scientist |video Analytic | Gurgaon,M/s Fast and Furious Consulting,2-3 Yrs,Not disclosed,"Delhi NCR, Gurgaon","Must have experience working on live projects related to Video segmentation, video anal...","Segmentation
Artificial Intelligence
Machine Learning
Deep Learning
Analytics
Python"
Data Scientist,Kennametal Inc,2-5 Yrs,Not disclosed,Bengaluru(Whitefield),Kennametal is looking for exceptional talent as we continue to roll-out our $300MM glob...,"Plant Management
java
Predictive Maintenance
Use Cases
Power Bi
Database Management
Data Collection
Data Analytics"
SDE - Data Scientist,Zamroo,4-9 Yrs,Not disclosed,Noida,SDE - Data Scientist NOIDA ZAMROO TECHNOLOGY FULL TIME Data Science at Zamroo comprises...,"Computer science
Data analysis
Statistical analysis
Artificial Intelligence
Machine learning
Agile
model development
data visualization"
Data Scientist (pass out or from any Prestigious Institute),Direct Global Consulting LLP,0-3 Yrs,Not disclosed,Gurgaon,Exp using statistical computer languages (preferably python or R) to manipulate data an...,"data analysis
properties of distributions
hypothesis testing
data mining
data research
Machine Learning
data analyst
R"
Data Guru,TASKUS INDIA PRIVATE LIMITED,10-20 Yrs,Not disclosed,Indore,"Well, since this is a data scientist post, we need someone with a Bachelors degree in C...","ms sql
tableau
ssas
google data studio
power bi
Qlikview
ssis"
Data Scientist,Marktine,1-3 Yrs,Not disclosed,Jaipur,Work with stakeholders throughout the organization to identify opportunities for levera...,"Computer languages
PDF
Neural networks
Machine learning
Predictive modeling
Business solutions
Revenue generation
Monitoring"
Data Scientist Junior,AgNext Technologies ( India's leading Agri Tech driven Company),2-7 Yrs,Not disclosed,"Mohali, Gurgaon","and Expertise Machine Learning, Image Processing, Computer Vision, Python, Deep Learnin...","Computer vision
deep learning
Literature
Image processing
Artificial Intelligence
Machine learning
Deployment
Food processing"
